   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:31 - 17.10.06 11:32
                                                                                 
 Ring :   1.2 GeV   300.1 mA -  300.7 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.64048 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  12.98728  12.98786    0.0034  29735879  73153649     -1081
  12.98686  12.98745    0.0034  29727679  73126149     -1081
  12.98644  12.98702    0.0034  29734879  73145649     -1081
  12.98603  12.98659    0.0034  29725479  73145349     -1081
  12.98561  12.98616    0.0034  29732479  73153949      -814
  12.98519  12.98573    0.0034  29721279  73158749     -1348
  12.98478  12.98531    0.0034  29720979  73156849      -548
  12.98436  12.98490    0.0034  29728379  73166749     -1346
  12.98394  12.98449    0.0034  29737279  73187749      -548
  12.98353  12.98408    0.0034  29721479  73188849     -1348
  12.98311  12.98366    0.0034  29728679  73177949      -548
  12.98269  12.98325    0.0034  29703379  73169149     -1081
  12.98228  12.98284    0.0034  29702579  73178949      -814
  12.98186  12.98243    0.0034  29708979  73180549     -1081
  12.98144  12.98202    0.0034  29719679  73213349     -1348
  12.98103  12.98160    0.0034  29699379  73193649      -548
  12.98061  12.98116    0.0034  29702279  73190949     -1614
  12.98019  12.98073    0.0034  29711379  73206749      -548
  12.97978  12.98029    0.0034  29700179  73221349     -1881
  12.97936  12.97987    0.0034  29708679  73225649      -548
  12.97894  12.97946    0.0034  29698279  73237949     -1614
  12.97853  12.97906    0.0034  29697479  73222449      -814
  12.97811  12.97866    0.0034  29699879  73250149     -1081
  12.97769  12.97827    0.0034  29704879  73280349     -1346
  12.97728  12.97787    0.0034  29698879  73239749      -814
